run_label,dof_lag_max,success_rate_mean,success_rate_std,success_rate_count,lin_vel_mae_mean,lin_vel_mae_std,lin_vel_mae_count,fall_rate_mean,fall_rate_std,fall_rate_count,ang_vel_mae_mean,ang_vel_mae_std,ang_vel_mae_count
baseline,0,0.97395831400839,0.0011276707162948983,3,0.12382571047055531,0.0019371728283208308,3,0.026041666666666668,0.0011276372445109873,3,0.18942796689225358,0.00209686839099857,3
baseline,5,0.979817669489421,0.006278439384510911,3,0.12501527561107648,0.0026145131933425665,3,0.020833333333333332,0.007394411908594106,3,0.1892974466415277,0.0063659414266065755,3
baseline,15,0.9680989197610567,0.0045105155734724905,3,0.13566827960312364,0.004615699798727465,3,0.034505208333333336,0.007394411908594105,3,0.20691255271473583,0.006767445194503127,3
baseline,40,0.9427083142412206,0.015786888354644455,3,0.17239351254344604,0.00980954621788501,3,0.060546875,0.018835255392564365,3,0.25141267508539994,0.014129812647504479,3
baseline,50,0.9082031073824813,0.01923607990913674,3,0.2007891176520691,0.00817102653991486,3,0.09895833333333333,0.021513947450336336,3,0.2946563792017211,0.014333220843555013,3
baseline,60,0.8209635247476399,0.04639783691568806,3,0.24792172301386015,0.01993035186232352,3,0.20768229166666666,0.055288733712401415,3,0.37117019087114994,0.04355127754991335,3
baseline,80,0.0,0.0,3,0.6166737469534079,0.03919061167635232,3,1.0,0.0,3,0.92451605245471,0.047067689975082316,3
baseline,100,0.0,0.0,3,0.5729279565314452,0.019309179572866472,3,1.0,0.0,3,0.8837682523826759,0.044646986786413385,3
robust,0,0.9973958333333334,0.0029834477180702055,3,0.11593380305081759,0.000707029057667169,3,0.0026041666666666665,0.0029834477180702085,3,0.17220922232566713,0.0007873371467269813,3
robust,5,0.9915364583333334,0.004065753905207275,3,0.12213076970268348,0.0020103657390458784,3,0.008463541666666666,0.00406575390520729,3,0.17395590341766365,0.002077637809321852,3
robust,15,0.9876302083333334,0.006278418464188112,3,0.1238987148244632,0.00014846571629108693,3,0.012369791666666666,0.006278418464188121,3,0.1763401226295779,0.0009175213631480909,3
robust,40,0.9915364583333334,0.006278418464188112,3,0.12261587133010222,0.0008100580006259859,3,0.008463541666666666,0.006278418464188121,3,0.18078302559054762,0.00151346539261153,3
robust,50,0.9889322916666666,0.0049152567937960755,3,0.12509285465542533,0.0028768509968400504,3,0.011067708333333334,0.004915256793796062,3,0.18482382750759518,0.003110644540400813,3
robust,60,0.9830728971476977,0.0029834541073372697,3,0.12830211439965447,0.0018539226825649415,3,0.016927083333333332,0.002983447718070208,3,0.1941057104268111,0.0008311036675364223,3
robust,80,0.9635416283660257,0.006859146446182918,3,0.13831445518978094,0.0015457714300878363,3,0.037760416666666664,0.007893460711576913,3,0.2136281687805118,0.0037490865267717365,3
robust,100,0.9547525754120821,0.012921141012966477,6,0.14110543284914454,0.004077610610082155,6,0.0458984375,0.013741452421357703,6,0.2242237791457834,0.006081257533376995,6
